,Unique Heart Rates,Frequency
73,61.0,319
65,60.0,317
58,59.0,315
50,58.0,303
113,67.0,281
82,62.0,278
118,68.0,273
105,66.0,269
129,70.0,266
89,63.0,265
43,57.0,264
94,64.0,260
34,56.0,253
123,69.0,247
98,65.0,245
133,71.0,234
151,75.0,224
137,72.0,221
146,74.0,215
28,55.0,209
141,73.0,208
166,78.0,198
171,79.0,192
234,102.0,187
157,76.0,179
162,77.0,179
21,54.0,174
182,83.0,157
173,80.0,157
177,82.0,154
176,81.0,153
187,84.0,148
263,130.0,144
233,101.0,140
264,131.0,133
266,133.0,133
235,103.0,130
16,53.0,129
262,129.0,125
197,87.0,123
190,85.0,122
225,96.0,121
227,97.0,118
228,98.0,115
204,89.0,111
194,86.0,111
200,88.0,108
220,95.0,108
267,134.0,106
211,92.0,101
265,132.0,101
268,135.0,97
216,94.0,97
209,91.0,96
231,100.0,93
207,90.0,88
260,127.0,86
261,128.0,86
269,136.0,85
230,99.0,84
214,93.0,82
12,52.0,76
236,104.0,72
259,126.0,69
271,138.0,67
272,139.0,66
9,51.0,65
258,125.0,64
270,137.0,56
275,142.0,51
237,105.0,46
273,140.0,45
257,124.0,44
241,109.0,42
239,107.0,41
274,141.0,40
242,110.0,39
243,111.0,39
240,108.0,38
238,106.0,37
244,112.0,29
7,50.0,29
245,113.0,27
246,114.0,27
276,143.0,26
256,123.0,25
255,122.0,24
251,118.0,23
250,117.0,20
254,121.0,17
247,115.0,16
253,120.0,16
252,119.0,14
278,145.0,12
248,116.0,11
277,144.0,10
280,147.0,9
279,146.0,7
5,49.0,5
281,148.0,5
189,84.8619,4
45,57.3134,4
158,76.0396,4
70,60.7115,4
288,175.0,4
135,71.4419,4
140,72.7962,4
75,61.1952,3
78,61.6867,3
92,63.4711,3
282,149.0,3
25,54.565,3
196,86.7797,3
59,59.0769,3
4,48.0,3
289,176.0,3
101,65.641,3
114,67.0742,3
66,60.2353,3
49,57.9623,3
117,67.9646,3
96,64.5378,3
175,80.8421,3
172,79.1753,3
88,62.9508,3
142,73.1429,3
150,74.9268,3
198,87.2727,3
134,71.1111,3
180,82.5806,3
163,77.1859,3
100,65.3617,3
108,66.2069,2
126,69.5023,2
91,63.2099,2
85,62.43899999999999,2
131,70.4587,2
79,61.8111,2
76,61.44,2
130,70.137,2
143,73.4928,2
72,60.9524,2
159,76.4179,2
145,73.8462,2
68,60.4734,2
109,66.4935,2
111,66.7826,2
67,60.4724,2
64,59.7665,2
120,68.2667,2
61,59.42,2
128,69.8182,2
132,70.7834,2
293,202.0,2
29,55.0538,2
116,67.6652,2
42,56.9946,2
283,150.0,2
183,83.027,2
54,58.626000000000005,2
115,67.3684,2
3,47.0,2
51,58.1818,2
218,94.8148,2
46,57.5281,2
168,78.3673,2
52,58.403,2
41,56.8889,2
203,88.7861,2
35,56.0584,2
30,55.2518,2
57,58.9637,2
26,54.7595,2
291,200.0,2
17,53.3333,2
23,54.1801,2
167,78.1684,1
160,76.8,1
161,76.993,1
164,77.5758,1
165,77.9695,1
178,82.139,1
169,78.7692,1
170,78.9722,1
174,80.4188,1
179,82.3598,1
181,82.8038,1
154,75.4796,1
156,75.8523,1
24,54.2756,1
99,65.0847,1
97,64.8101,1
95,64.2678,1
37,56.3672,1
36,56.1611,1
33,55.7534,1
32,55.6522,1
31,55.4513,1
27,54.8571,1
185,83.7063,1
22,54.0845,1
20,53.8947,1
19,53.707,1
184,83.4783,1
103,65.7819,1
186,83.9344,1
119,68.1156,1
149,74.745,1
148,74.5631,1
1,45.0,1
144,73.6695,1
139,72.6245,1
138,72.4528,1
136,71.7757,1
127,69.6602,1
125,69.1892,1
124,69.0341,1
122,68.8803,1
121,68.5714,1
112,66.9284,1
188,84.3956,1
110,66.6381,1
107,66.0673,1
106,66.0648,1
104,65.9227,1
15,52.9655,1
152,75.2941,1
102,65.6422,1
153,75.2959,1
155,75.665,1
193,85.5717,1
192,85.3333,1
191,85.0976,1
18,53.7063,1
44,57.1004,1
14,52.4232,1
212,92.3732,1
0,44.0,1
213,92.5301,1
224,95.6818,1
226,96.0994,1
221,95.2614,1
229,98.0048,1
219,94.8659,1
217,94.1138,1
215,93.2697,1
232,100.671,1
249,116.61399999999999,1
222,95.4074,1
284,153.0,1
71,60.8319,1
210,91.4286,1
201,88.4945,1
223,95.5238,1
285,154.0,1
202,88.7693,1
292,201.0,1
208,90.3529,1
205,89.5634,1
206,89.8246,1
290,198.0,1
287,173.0,1
286,164.0,1
199,87.7714,1
47,57.6362,1
13,52.0678,1
84,62.3126,1
11,51.8919,1
10,51.4574,1
8,50.6097,1
6,49.1521,1
2,46.0,1
38,56.5748,1
39,56.678999999999995,1
40,56.7839,1
93,63.6028,1
90,63.0803,1
87,62.8223,1
86,62.5665,1
83,62.0609,1
48,57.7444,1
81,61.9355,1
80,61.8231,1
77,61.441,1
195,86.5954,1
74,61.0738,1
69,60.592,1
63,59.6507,1
62,59.5349,1
60,59.305,1
56,58.8506,1
55,58.7383,1
53,58.5145,1
147,74.3865,1
